Institute_Name,Closure_Year,Reason,last_updated
"Bapatla College of Pharmaceutical Sciences, North Delhi",2021,Infrastructure non-compliance,2023/02/07
"Shri College of Applied Arts, New Delhi",2019,affiliation revoked,2023/07/05
  Matrusri Institute Of Technology And Science ,2024,Merged with another institute,2023/06/27
"Nitte School Of Applied Arts, Anantapur",2023,No admission for 3 consecutive years,2023/10/09
"  Vels Institute of Technology & Science, Solapur. ",2019,voluntarily closed,2023/06/02
"Guru Nanak College of Engineering and Technology, Bardhaman",2022,affiliation revoked,2023/11/27
"Lokmanya Institute of Technology, Jamshedpur",2023,Infrastructure non-compliance,2024/05/27
"CVR Institute of Engineering and Technology, Howrah",2022,,2024/06/18
"Symbiosis College of Engineering and Technology, Belagavi",2018,No admission for 3 consecutive years,2024/02/08
"Siddhartha Engineering College, Varanasi",2021,affiliation revoked,2023/06/03
"Reva College of Engineering and Technology, Siddipet",2022,voluntarily closed,2023/08/07
"GOVERNMENT SCHOOL OF ARCHITECTURE, BALLARI",2018,Infrastructure non-compliance,2023/03/24
Jalandhar Government Institute of Pharmaceutical Sciences,2020,No admission for 3 consecutive years,2023/08/25
"Hindustan Institute of Technology and Science, Allahabad",2018,affiliation revoked,2023/10/14
" Aditya Institute of Pharmaceutical Sciences, Meerut ",2023,voluntarily closed,2024/06/04
PUNE G.L. BAJAJ INSTITUTE OF MANAGEMENT AND TECHNOLOGY,2018,Merged with another institute,2023/08/28
" Thiagarajar Pharmacy College, Kolhapur ",2023,No admission for 3 consecutive years,2023/11/12
Rajalakshmi  Institute of Management and Technology,2018,affiliation revoked,2024/03/04
"Sardar    Engineering College, Hyderabad",2022,No admission for 3 consecutive years,2023/12/12
"G.L. Bajaj College of Pharmacy, Junagadh",2021,voluntarily closed,2024/04/24
"Christ Pharmacy College, Allahabad",2024,Poor placement record,2023/03/28
"Kalinga Institute of Applied Arts and Crafts, Indore",2022,Poor placement record,2023/12/17
"Government Institute of Management, Visakhapatnam",2022,affiliation revoked,2024/05/28
"Bharath Institute of Pharmaceutical Sciences, Siddipet",2022,Poor placement record,2023/08/28
"Matrusri Engineering College, Jorhat",2023,Poor placement record,2024/03/25
"Government Engineering College, Nashik",2021,Merged with another institute,2024/03/07
"Geethanjali Institute of Engineering and Polytechnic, Panipat",2022,affiliation revoked,2024/06/27
"Kakatiya College of Engineering, Rourkela",2021,Infrastructure non-compliance,2023/04/01
