Institute_Name,NBA_Status,Valid_Until,last_updated,
"Government Institute of Polytechnic Studies, Rajkot",Not Accredited,11-08-2025,16-06-2024,
"D.Y.  PATIL ENGINEERING COLLEGE, MADURAI",Accredited,22-10-2025,05-09-2023,
Government Inst. of Management,Not Accredited,06-09-2026,11-12-2023,
"  Government  Institute of Management, Cuttack ",ACCREDITED,21-11-2026,01-05-2024,
"SINHGAD INSTITUTE OF ENGINEERING AND POLYTECHNIC, HYDERABAD.",accredited,28-06-2025,01-03-2023,
"  Reva Engg. College, Tezpur. ",Accredited,12-11-2025,10-05-2023,
"Vignan Institute of Engineering and Technology, Davanagere",Not Accredited,13-07-2025,11-05-2024,
"Kalasalingam College of Architecture and Planning, Durgapur",not accredited,09-07-2025,12-02-2024,
"Amity Engineering College, Karimnagar",Not accredited,01-08-2026,04-07-2023,
"Government School of Architecture, Kozhikode",ACCREDITED,15-11-2025,23-03-2023,
" G.L. Bajaj Institute of Management and Technology, Pune ",not accredited,12-09-2026,26-03-2024,
"Raghu Institute of Management and Technology, Ghaziabad",accredited,03-07-2025,31-05-2023,
Roorkee Bms Institute Of Technology And Science,ACCREDITED,12-03-2026,17-04-2023,
"  Sri Sathya Sai College of Management Studies, South Delhi ",Not Accredited,17-12-2025,03-03-2024,
"Ideal College of Engineering & Technology, Jodhpur. ,",not accredited,21-11-2025,18-05-2023,
"Anurag Institute of Science and Technology, Guntur",not accredited,21-03-2026,12-07-2023,
"Sree Dattha Institute of Management Studies, Rohtak",Accredited,01-12-2026,31-01-2023,
"VIT Institute of Technology, Ranchi.",accredited,01-03-2026,20-06-2024,
"Gokaraju  School Of Architecture, Varanasi",not accredited,,31-03-2023,
"Government Engg. College, Ahmedabad",Not Accredited,31-10-2025,26-03-2023,
"Vignan Institute of Science and Technology, Allahabad",accredited,07-01-2026,03-01-2023,
"Thiagarajar Pharmacy College, Kolhapur",not accredited,20-11-2025,06-01-2023,
"Andhra Engineering College, Mysuru",accredited,01-06-2026,02-10-2023,
Chennai Velammal College of Engineering and Technology,Not accredited,27-12-2025,30-07-2023,
"Srinivasa College of Engineering and Technology, Belagavi",Not Accredited,14-10-2025,20-03-2023,
"Girijananda Chowdhury Inst. of Management and Technology, Faridabad ,",accredited,07-02-2026,14-02-2024,
"KALINGA PHARMACY COLLEGE, SAGAR",not accredited,,19-06-2024,
"Galgotias Engineering College, Jabalpur",not accredited,02-03-2026,20-06-2023,
  Kozhikode Chaitanya Institute of Science and Technology ,not accredited,16-11-2025,09-03-2024,
"  Matrusri Institute of Technology and Science, Adilabad ",Not Accredited,,13-05-2023,
Thapar College of Engineering,not accredited,31-10-2026,28-09-2023,
"NMAM Institute of Engineering & Management, Bengaluru ,",Not Accredited,,17-03-2023,
Sinhgad Institute Of Technology,Not Accredited,,07-04-2024,
K.S.R. Institute of Science and Technology,not accredited,02-11-2025,30-05-2024,
"  Kalasalingam  College of Management Studies, Meerut ",Not Accredited,10-09-2026,27-06-2023,
"Vasavi  Institute Of Engineering And Management, Jodhpur ,",ACCREDITED,19-01-2026,21-03-2024,
"Srinivasa Inst. of Engg. and Management, Anantapur",accredited,18-10-2026,13-05-2024,
"Dr. B.R. Ambedkar Engineering College, Kolhapur",Accredited,01-10-2026,24-07-2023,
" Sinhgad Institute of Science and Technology, Ballari ",accredited,15-08-2025,16-07-2023,
"Government College of Engineering, Jaipur",accredited,03-10-2025,12-05-2023,
"Government College of Architecture, Siliguri",not accredited,21-10-2026,15-05-2023,
" Government Institute of Management, Puducherry ",Accredited,12-08-2025,30-06-2023,
"PSG Engineering College, Durgapur",ACCREDITED,21-04-2026,29-01-2023,
"Government College of Engineering, Nizamabad",accredited,17-05-2026,19-04-2024,
"Government College of Pharmacy, Nagpur",accredited,22-04-2026,16-05-2023,
"GOVERNMENT   ENGINEERING COLLEGE, MANDI ,",Not Accredited,15-03-2026,21-10-2023,
"RV Institute of Technology, Coimbatore",not accredited,,26-02-2024,
"Hindustan College of Engineering, Vadodara",not accredited,14-11-2026,03-08-2023,
"Anurag Institute of Science and Technology, Ranchi",Not Accredited,13-03-2026,22-05-2023,
Government College of Engineering,not accredited,29-10-2026,07-08-2023,
"Kalinga  Inst. Of Applied Arts And Crafts, Indore",Not Accredited,,17-01-2023,
"Government Colg. of Engg., Karimnagar",not accredited,16-11-2025,23-06-2024,
Amity  College of Engineering,not accredited,28-06-2026,30-06-2023,
"Government College of Pharmacy, Sagar",Not Accredited,08-10-2025,06-03-2023,
"GOVERNMENT COLLEGE OF ENGINEERING, JABALPUR",not accredited,07-01-2026,06-05-2024,
"Dr. B.R. Ambedkar Engineering College, Mangaluru",ACCREDITED,17-11-2026,17-06-2023,
"Government Institute of Management, Kota",Not accredited,18-12-2025,12-08-2023,
"Sri Venkateswara Institute of Science and Technology, Haldia",accredited,20-11-2025,13-10-2023,
"  Kakatiya School of Management, Lucknow ",accredited,31-08-2026,01-02-2023,
" Rajalakshmi Institute of Technology, Kanpur ",ACCREDITED,15-09-2025,18-05-2024,
"Government Engineering College, Sagar",ACCREDITED,02-04-2026,29-10-2023,
"Chaitanya College of Fine and Applied Arts, Madurai ,",Accredited,,13-01-2023,
"VASAVI BUSINESS SCHOOL, MADURAI",ACCREDITED,13-09-2025,21-06-2024,
