approval_id,institution_id,approval_type,nba_status,valid_until,closure_year,reason,state,last_updated
APR_00001,INST_0468,nba,Not Accredited,11-08-2025,,,,16-06-2024
APR_00002,INST_0040,nba,Accredited,22-10-2025,,,,05-09-2023
APR_00003,INST_0012,nba,Not Accredited,06-09-2026,,,,11-12-2023
APR_00004,INST_0232,nba,ACCREDITED,21-11-2026,,,,01-05-2024
APR_00005,INST_0143,nba,accredited,28-06-2025,,,,01-03-2023
APR_00006,INST_0471,nba,Accredited,12-11-2025,,,,10-05-2023
APR_00007,INST_0231,nba,Not Accredited,13-07-2025,,,,11-05-2024
APR_00008,INST_0288,nba,not accredited,09-07-2025,,,,12-02-2024
APR_00009,INST_0153,nba,Not accredited,01-08-2026,,,,04-07-2023
APR_00010,INST_0493,nba,ACCREDITED,15-11-2025,,,,23-03-2023
APR_00011,INST_0136,nba,not accredited,12-09-2026,,,,26-03-2024
APR_00012,INST_0340,nba,accredited,03-07-2025,,,,31-05-2023
APR_00013,INST_0095,nba,ACCREDITED,12-03-2026,,,,17-04-2023
APR_00014,INST_0368,nba,Not Accredited,17-12-2025,,,,03-03-2024
APR_00015,INST_0139,nba,not accredited,21-11-2025,,,,18-05-2023
APR_00016,INST_0214,nba,not accredited,21-03-2026,,,,12-07-2023
APR_00017,INST_0371,nba,Accredited,01-12-2026,,,,31-01-2023
APR_00018,INST_0170,nba,accredited,01-03-2026,,,,20-06-2024
APR_00019,INST_0091,nba,not accredited,,,,,31-03-2023
APR_00020,INST_0055,nba,Not Accredited,31-10-2025,,,,26-03-2023
APR_00021,INST_0394,nba,accredited,07-01-2026,,,,03-01-2023
APR_00022,INST_0251,nba,not accredited,20-11-2025,,,,06-01-2023
APR_00023,INST_0180,nba,accredited,01-06-2026,,,,02-10-2023
APR_00024,INST_0217,nba,Not accredited,27-12-2025,,,,30-07-2023
APR_00025,INST_0059,nba,Not Accredited,14-10-2025,,,,20-03-2023
APR_00026,INST_0243,nba,accredited,07-02-2026,,,,14-02-2024
APR_00027,INST_0313,nba,not accredited,,,,,19-06-2024
APR_00028,INST_0428,nba,not accredited,02-03-2026,,,,20-06-2023
