course_id,institution_id,course_name,department,duration_years,intake_capacity,fee_per_year,course_status,last_updated
CRS_1,INST_0001,B.Tech Chemical Engineering,CHEM,4,84,32322.00,active,2021-11-01 12:00:00
CRS_10,INST_0006,B.Tech Robotics and Automation,ROB,4,111,240391.00,active,2026-05-21 12:00:00
CRS_100,INST_0036,M.Tech Artificial Intelligence,PG-AI,2,144,129830.00,active,2026-05-30 12:00:00
CRS_1000,INST_0364,B.Tech Chemical Engineering,CHEM,4,174,58297.00,active,2026-05-08 12:00:00
CRS_1001,INST_0364,M.Tech Power Systems,PG-EEE,2,31,81459.00,active,2023-08-18 12:00:00
CRS_1002,INST_0365,M.Tech Computer Science,PG-CSE,2,175,86609.00,active,2026-05-17 12:00:00
CRS_1003,INST_0365,B.Tech Electronics and Communication Engineering,ECE,4,160,198093.00,active,2026-07-28 12:00:00
CRS_1004,INST_0365,MBA Business Analytics,MBA-BA,2,54,130860.00,active,2025-07-12 12:00:00
CRS_1005,INST_0366,Diploma in Computer Engineering,DIP-CSE,3,124,56553.00,active,2025-05-06 12:00:00
CRS_1006,INST_0366,B.Tech Robotics and Automation,ROB,4,71,237447.00,active,2026-04-22 12:00:00
CRS_1007,INST_0366,B.Tech Civil Engineering,CIVIL,4,63,245083.00,active,2026-06-26 12:00:00
CRS_1008,INST_0366,MBA Business Analytics,MBA-BA,2,165,192605.00,closed,2022-05-27 12:00:00
CRS_1009,INST_0368,MBA Business Analytics,MBA-BA,2,170,156751.00,active,2026-07-18 12:00:00
CRS_101,INST_0036,M.Tech Data Science,PG-DS,2,160,82101.00,active,2026-07-30 12:00:00
CRS_1010,INST_0368,B.Tech Aerospace Engineering,AE,4,79,143941.00,active,2026-07-05 12:00:00
CRS_1011,INST_0368,B.Tech Chemical Engineering,CHEM,4,99,143105.00,active,2024-01-11 12:00:00
CRS_1012,INST_0368,MBA,MBA,2,150,225365.00,active,2023-12-02 12:00:00
CRS_1013,INST_0369,B.Tech Biotechnology,BT,4,77,126144.00,active,2026-08-10 12:00:00
CRS_1014,INST_0369,MBA Business Analytics,MBA-BA,2,177,45084.00,active,2022-05-28 12:00:00
CRS_1015,INST_0369,B.Tech Electronics and Communication Engineering,ECE,4,82,209032.00,active,2026-05-23 12:00:00
CRS_1016,INST_0370,B.Pharm,PHARM,4,176,67388.00,active,2026-04-19 12:00:00
CRS_1017,INST_0370,M.Tech Computer Science,PG-CSE,2,93,101954.00,active,2022-12-17 12:00:00
CRS_1018,INST_0370,Diploma in Computer Engineering,DIP-CSE,3,87,188908.00,active,2026-05-17 12:00:00
CRS_1019,INST_0371,MBA,MBA,2,111,44971.00,active,2026-04-19 12:00:00
CRS_102,INST_0036,M.Tech VLSI Design,PG-ECE,2,33,176616.00,active,2026-05-25 12:00:00
CRS_1020,INST_0371,B.Tech Electronics and Communication Engineering,ECE,4,72,41504.00,active,2021-11-03 12:00:00
CRS_1021,INST_0371,B.Tech Information Technology,IT,4,79,140218.00,active,2026-06-01 12:00:00
CRS_1022,INST_0011,B.Tech Cybersecurity and Digital Forensics,CYS,4,149,50359.00,active,2026-07-07 12:00:00
CRS_1023,INST_0255,B.Tech Electronics and Communication Engineering,ECE,4,64,241942.00,active,2021-10-12 12:00:00
CRS_1024,INST_0373,B.Tech Information Technology,IT,4,34,180143.00,active,2024-05-14 12:00:00
CRS_1025,INST_0373,B.Tech Artificial Intelligence and Data Science,AIDS,4,168,132019.00,active,2026-06-18 12:00:00
CRS_1026,INST_0373,B.Tech Computer Science and Engineering,CSE,4,70,185732.00,active,2021-12-13 12:00:00
CRS_1027,INST_0374,B.Arch,ARCH,5,162,47981.00,active,2024-12-28 12:00:00
CRS_1028,INST_0374,B.Tech Chemical Engineering,CHEM,4,122,29518.00,active,2026-06-20 12:00:00
CRS_1029,INST_0375,B.Tech Computer Science and Engineering,CSE,4,39,43725.00,active,2026-04-26 12:00:00
CRS_103,INST_0037,B.Tech Data Science,DS,4,68,233876.00,active,2026-08-07 12:00:00
CRS_1030,INST_0375,B.Tech Artificial Intelligence and Machine Learning,AIML,4,53,158349.00,active,2026-04-27 12:00:00
CRS_1031,INST_0375,B.Tech Automobile Engineering,AUTO,4,70,101107.00,closed,2026-06-07 12:00:00
