id,canonical_entity_id,source_system,source_database,source_table,source_record_id,transformation_version,validation_status,ingestion_timestamp
20268,INST_0001,mysql,aicte_institutes,institutes,0,v1,loaded,2026-08-17 10:10:48.758218+00:00
20269,INST_0002,mysql,aicte_institutes,institutes,1,v1,loaded,2026-08-17 10:10:48.758218+00:00
20270,INST_0003,mysql,aicte_institutes,institutes,2,v1,loaded,2026-08-17 10:10:48.758218+00:00
20271,INST_0004,mysql,aicte_institutes,institutes,3,v1,loaded,2026-08-17 10:10:48.758218+00:00
20272,INST_0005,mysql,aicte_institutes,institutes,4,v1,loaded,2026-08-17 10:10:48.758218+00:00
20273,INST_0006,mysql,aicte_institutes,institutes,5,v1,loaded,2026-08-17 10:10:48.758218+00:00
20274,INST_0007,mysql,aicte_institutes,institutes,6,v1,loaded,2026-08-17 10:10:48.758218+00:00
20275,INST_0008,mysql,aicte_institutes,institutes,7,v1,loaded,2026-08-17 10:10:48.758218+00:00
20276,INST_0009,mysql,aicte_institutes,institutes,8,v1,loaded,2026-08-17 10:10:48.758218+00:00
20277,INST_0010,mysql,aicte_institutes,institutes,9,v1,loaded,2026-08-17 10:10:48.758218+00:00
20278,INST_0011,mysql,aicte_institutes,institutes,10,v1,loaded,2026-08-17 10:10:48.758218+00:00
20279,INST_0012,mysql,aicte_institutes,institutes,11,v1,loaded,2026-08-17 10:10:48.758218+00:00
20280,INST_0013,mysql,aicte_institutes,institutes,12,v1,loaded,2026-08-17 10:10:48.758218+00:00
20281,INST_0014,mysql,aicte_institutes,institutes,13,v1,loaded,2026-08-17 10:10:48.758218+00:00
20282,INST_0015,mysql,aicte_institutes,institutes,14,v1,loaded,2026-08-17 10:10:48.758218+00:00
20283,INST_0016,mysql,aicte_institutes,institutes,15,v1,loaded,2026-08-17 10:10:48.758218+00:00
20284,INST_0017,mysql,aicte_institutes,institutes,16,v1,loaded,2026-08-17 10:10:48.758218+00:00
20285,INST_0018,mysql,aicte_institutes,institutes,17,v1,loaded,2026-08-17 10:10:48.758218+00:00
20286,INST_0019,mysql,aicte_institutes,institutes,18,v1,loaded,2026-08-17 10:10:48.758218+00:00
20287,INST_0020,mysql,aicte_institutes,institutes,19,v1,loaded,2026-08-17 10:10:48.758218+00:00
20288,INST_0021,mysql,aicte_institutes,institutes,20,v1,loaded,2026-08-17 10:10:48.758218+00:00
20289,INST_0022,mysql,aicte_institutes,institutes,21,v1,loaded,2026-08-17 10:10:48.758218+00:00
20290,INST_0023,mysql,aicte_institutes,institutes,22,v1,loaded,2026-08-17 10:10:48.758218+00:00
20291,INST_0024,mysql,aicte_institutes,institutes,23,v1,loaded,2026-08-17 10:10:48.758218+00:00
20292,INST_0025,mysql,aicte_institutes,institutes,24,v1,loaded,2026-08-17 10:10:48.758218+00:00
20293,INST_0026,mysql,aicte_institutes,institutes,25,v1,loaded,2026-08-17 10:10:48.758218+00:00
20294,INST_0027,mysql,aicte_institutes,institutes,26,v1,loaded,2026-08-17 10:10:48.758218+00:00
20295,INST_0028,mysql,aicte_institutes,institutes,27,v1,loaded,2026-08-17 10:10:48.758218+00:00
