id,master_entity_id,entity_type,source_system,source_database,source_table,source_record_id,match_score,created_at
20268,INST_0001,institution,mysql,aicte_institutes,institutes,0,1.0,2026-08-17 10:10:55.164917+00:00
20269,INST_0002,institution,mysql,aicte_institutes,institutes,1,1.0,2026-08-17 10:10:55.164917+00:00
20270,INST_0003,institution,mysql,aicte_institutes,institutes,2,1.0,2026-08-17 10:10:55.164917+00:00
20271,INST_0004,institution,mysql,aicte_institutes,institutes,3,1.0,2026-08-17 10:10:55.164917+00:00
20272,INST_0005,institution,mysql,aicte_institutes,institutes,4,1.0,2026-08-17 10:10:55.164917+00:00
20273,INST_0006,institution,mysql,aicte_institutes,institutes,5,1.0,2026-08-17 10:10:55.164917+00:00
20274,INST_0007,institution,mysql,aicte_institutes,institutes,6,1.0,2026-08-17 10:10:55.164917+00:00
20275,INST_0008,institution,mysql,aicte_institutes,institutes,7,1.0,2026-08-17 10:10:55.164917+00:00
20276,INST_0009,institution,mysql,aicte_institutes,institutes,8,1.0,2026-08-17 10:10:55.164917+00:00
20277,INST_0010,institution,mysql,aicte_institutes,institutes,9,1.0,2026-08-17 10:10:55.164917+00:00
20278,INST_0011,institution,mysql,aicte_institutes,institutes,10,1.0,2026-08-17 10:10:55.164917+00:00
20279,INST_0012,institution,mysql,aicte_institutes,institutes,11,1.0,2026-08-17 10:10:55.164917+00:00
20280,INST_0013,institution,mysql,aicte_institutes,institutes,12,1.0,2026-08-17 10:10:55.164917+00:00
20281,INST_0014,institution,mysql,aicte_institutes,institutes,13,1.0,2026-08-17 10:10:55.164917+00:00
20282,INST_0015,institution,mysql,aicte_institutes,institutes,14,1.0,2026-08-17 10:10:55.164917+00:00
20283,INST_0016,institution,mysql,aicte_institutes,institutes,15,1.0,2026-08-17 10:10:55.164917+00:00
20284,INST_0017,institution,mysql,aicte_institutes,institutes,16,1.0,2026-08-17 10:10:55.164917+00:00
20285,INST_0018,institution,mysql,aicte_institutes,institutes,17,1.0,2026-08-17 10:10:55.164917+00:00
20286,INST_0019,institution,mysql,aicte_institutes,institutes,18,1.0,2026-08-17 10:10:55.164917+00:00
20287,INST_0020,institution,mysql,aicte_institutes,institutes,19,1.0,2026-08-17 10:10:55.164917+00:00
20288,INST_0021,institution,mysql,aicte_institutes,institutes,20,1.0,2026-08-17 10:10:55.164917+00:00
20289,INST_0022,institution,mysql,aicte_institutes,institutes,21,1.0,2026-08-17 10:10:55.164917+00:00
20290,INST_0023,institution,mysql,aicte_institutes,institutes,22,1.0,2026-08-17 10:10:55.164917+00:00
20291,INST_0024,institution,mysql,aicte_institutes,institutes,23,1.0,2026-08-17 10:10:55.164917+00:00
20292,INST_0025,institution,mysql,aicte_institutes,institutes,24,1.0,2026-08-17 10:10:55.164917+00:00
20293,INST_0026,institution,mysql,aicte_institutes,institutes,25,1.0,2026-08-17 10:10:55.164917+00:00
20294,INST_0027,institution,mysql,aicte_institutes,institutes,26,1.0,2026-08-17 10:10:55.164917+00:00
20295,INST_0028,institution,mysql,aicte_institutes,institutes,27,1.0,2026-08-17 10:10:55.164917+00:00
20296,INST_0029,institution,mysql,aicte_institutes,institutes,28,1.0,2026-08-17 10:10:55.164917+00:00
20297,INST_0030,institution,mysql,aicte_institutes,institutes,29,1.0,2026-08-17 10:10:55.164917+00:00
20298,INST_0031,institution,mysql,aicte_institutes,institutes,30,1.0,2026-08-17 10:10:55.164917+00:00
20299,INST_0032,institution,mysql,aicte_institutes,institutes,31,1.0,2026-08-17 10:10:55.164917+00:00
20300,INST_0033,institution,mysql,aicte_institutes,institutes,32,1.0,2026-08-17 10:10:55.164917+00:00
20301,INST_0034,institution,mysql,aicte_institutes,institutes,33,1.0,2026-08-17 10:10:55.164917+00:00
20302,INST_0035,institution,mysql,aicte_institutes,institutes,34,1.0,2026-08-17 10:10:55.164917+00:00
20303,INST_0036,institution,mysql,aicte_institutes,institutes,35,1.0,2026-08-17 10:10:55.164917+00:00
20304,INST_0037,institution,mysql,aicte_institutes,institutes,36,1.0,2026-08-17 10:10:55.164917+00:00
20305,INST_0038,institution,mysql,aicte_institutes,institutes,37,1.0,2026-08-17 10:10:55.164917+00:00
20306,INST_0039,institution,mysql,aicte_institutes,institutes,38,1.0,2026-08-17 10:10:55.164917+00:00
20307,INST_0040,institution,mysql,aicte_institutes,institutes,39,1.0,2026-08-17 10:10:55.164917+00:00
20308,INST_0041,institution,mysql,aicte_institutes,institutes,40,1.0,2026-08-17 10:10:55.164917+00:00
20309,INST_0042,institution,mysql,aicte_institutes,institutes,41,1.0,2026-08-17 10:10:55.164917+00:00
20310,INST_0043,institution,mysql,aicte_institutes,institutes,42,1.0,2026-08-17 10:10:55.164917+00:00
