institution_id,institution_name,state,district,city,institute_type,ownership,approval_status,current_status,is_autonomous,nba_accredited,accreditation_valid_until,year_established,aicte_code,last_updated,nirf_rank,naac_grade
INST_0001,"Government Engineering College, Berhampur",Odisha,Berhampur,Berhampur,Engineering,Govt,True,active,False,False,,2011.0,6-8698257687,2026-05-26,,
INST_0002,"PSG College of Engineering and Technology, Visakhapatnam",Andhra Pradesh,Visakhapatnam,Visakhapatnam,Engineering,Private,True,active,True,False,,1978.0,5-3296114478,2026-06-12,,
INST_0003,"Andhra Inst. of Tech., Mohali",Punjab,Mohali,Mohali,Engineering,Private,,unapproved,False,False,,2011.0,4-7096309744,2026-05-27,,
INST_0004,"PES College of Engineering, Surat",Gujarat,Surat,Surat,Engineering,Private,True,active,False,False,,1971.0,2-4431278183,2026-05-26,,
INST_0005,"Sri Sathya Sai Institute of Engineering and Management, Thrissur",Kerala,Thrissur,Thrissur,Engineering,Private,False,closed,False,True,2030-03-17,1990.0,1-6904470538,2026-07-27,,
INST_0006,Bapatla Institute of Science & Technology,Assam,Guwahati,Guwahati,Engineering,Private,True,active,False,True,2029-08-06,1975.0,1-7831667143,2026-05-26,,
INST_0007,"SRM Institute of Technology, Durgapur",West Bengal,Durgapur,Durgapur,Engineering,Private,False,closed,False,True,2025-04-09,2010.0,3-9859514125,2026-06-16,,
INST_0008,"Symbiosis College of Engineering and Technology, Jabalpur",Madhya Pradesh,Jabalpur,Jabalpur,Engineering,Private,,active,False,True,2029-12-29,1979.0,5-6474711306,2026-06-15,,
INST_0009,"Anurag College of Architecture & Planning, Tirunelveli",Tamil Nadu,Tirunelveli,Tirunelveli,Architecture,Private,True,active,False,True,2026-11-09,1991.0,4-6911144368,2026-07-18,,
INST_0010,"NMAM Institute of Technology and Science, Mandi",Himachal Pradesh,Mandi,Mandi,Engineering,Private,True,active,False,True,2028-07-19,1984.0,8-1298415361,2026-05-19,,
INST_0011,"Government College of Engineering, Adilabad",Telangana,Adilabad,Adilabad,Engineering,Govt,True,active,False,False,,2010.0,3-5854697966,2026-08-07,,
INST_0012,"Government Institute Of Management, Anantapur",Andhra Pradesh,Anantapur,Anantapur,Management,Govt,,unapproved,True,False,,1982.0,6-4005504882,2026-07-29,,
INST_0013,"Christ Institute of Management Studies, Imphal",Manipur,Imphal,Imphal,Management,Private,True,active,False,False,,2008.0,4-3439730885,2026-08-11,,
INST_0014,"Kalinga Institute of Applied Arts and Crafts, Indore",Madhya Pradesh,Indore,Indore,Applied Arts,Private,False,active,False,False,,1999.0,5-8300466568,2026-06-12,,
