scholarship_id,scheme_name,administering_body,amount,applicable_states,last_updated
0,Post Matric Scholarship for SC Students,,,Karnataka,2026-08-13 12:00:00
1,Central Sector Scheme of Scholarships for College and University Students,,,Gujarat|Karnataka|Odisha,2026-07-16 12:00:00
10,Indira Gandhi Scholarship for Single Girl Child,Ministry of Education,"₹20,000 per year",Tamil Nadu|Maharashtra|Karnataka|Gujarat|Rajasthan,2026-08-10 12:00:00
100,Tamil Nadu CM's Merit Scholarship (State Special Extension 1),Tamil Nadu State Government,Full tuition fee,Punjab|Maharashtra|Madhya Pradesh|Uttar Pradesh|Rajasthan,2026-08-10 12:00:00
101,Andhra Pradesh Vidya Deevena (State Special Extension 1),Andhra Pradesh State Government,Full tuition fee,Andhra Pradesh|Madhya Pradesh|West Bengal|Odisha|Telangana,2026-08-14 12:00:00
102,CSR-funded Engineering Scholarship (State Special Extension 1),Private Foundation / CSR,"₹20,000 per year",Andhra Pradesh|Uttar Pradesh|Rajasthan|Karnataka,2026-06-28 12:00:00
103,Women in STEM Scholarship (State Special Extension 1),NGO / Corporate,"₹50,000",All States,2026-06-24 12:00:00
104,Green Energy Engineering Scholarship (State Special Extension 1),NGO / Corporate,Full tuition fee,Rajasthan|West Bengal,2026-07-16 12:00:00
105,Tribal Development Engineering Scheme (State Special Extension 1),Tribal Welfare Department,"₹20,000 per year",Madhya Pradesh|Telangana|Odisha,2026-07-24 12:00:00
106,Backward Classes Post-Matric Scheme (State Special Extension 1),BC Welfare Department,"₹50,000",Odisha|Madhya Pradesh|Maharashtra,2026-07-19 12:00:00
107,National Fellowship for OBC Students (State Special Extension 1),Ministry of Social Justice & Empowerment,Full tuition fee,West Bengal|Punjab|Andhra Pradesh|Karnataka|Tamil Nadu,2026-06-21 12:00:00
108,Incentive to Girl Students for Technical Education (State Special Extension 1),AICTE,"Up to ₹8,000 per month",Madhya Pradesh|Gujarat|Rajasthan,2026-08-12 12:00:00
109,Special Scholarship for J&K Students (State Special Extension 1),Ministry of Home Affairs,40000,All States,2026-07-06 12:00:00
11,Kishore Vaigyanik Protsahan Yojana (KVPY),Department of Science & Technology,"Up to ₹8,000 per month",Rajasthan,2026-06-26 12:00:00
110,Rural Engineering Talent Scholarship (State Special Extension 1),NGO / Corporate,Tuition + hostel fee,Rajasthan|Uttar Pradesh|Telangana,2026-06-25 12:00:00
111,AICTE Saraswati Scholarship (State Special Extension 1),AICTE,Full tuition fee,Tamil Nadu|Andhra Pradesh,2026-07-17 12:00:00
112,AICTE Yashasvi Scholarship (State Special Extension 1),AICTE,Tuition + hostel fee,Andhra Pradesh|Tamil Nadu|Telangana|Madhya Pradesh|Maharashtra,2026-06-20 12:00:00
113,AICTE Pragati Scholarship for Girl Students (State Special Extension 1),AICTE,"₹1,20,000",Punjab|Karnataka|Tamil Nadu|Telangana|Andhra Pradesh,2026-08-13 12:00:00
114,AICTE Saksham Scholarship for Persons with Disability (State Special Extension 1),AICTE,25000,All States,2026-08-15 12:00:00
115,AICTE Swanath Scholarship for Technical Education (State Special Extension 1),AICTE,120000,All States,2026-06-18 12:00:00
116,AICTE Pragati and Saksham Scheme for PG (State Special Extension 1),AICTE,"₹1,00,000",West Bengal|Telangana|Gujarat|Karnataka|Uttar Pradesh,2026-07-19 12:00:00
117,AICTE Doctoral Fellowship (ADF) (State Special Extension 1),AICTE,"Up to ₹2,00,000",Tamil Nadu,2026-07-27 12:00:00
118,AICTE National Doctoral Fellowship (State Special Extension 1),AICTE,40000,Rajasthan|Maharashtra,2026-08-02 12:00:00
119,AICTE Junior Research Fellowship (State Special Extension 1),AICTE,120000,Telangana|West Bengal|Uttar Pradesh|Maharashtra|Madhya Pradesh,2026-07-27 12:00:00
12,Nirali Vidyarthini Scholarship,,"₹20,000 per year",All States,2026-08-09 12:00:00
120,AICTE Tuition Fee Waiver for Economically Weaker Sections (State Special Extension 1),AICTE,50000,All States,2026-06-29 12:00:00
121,Central Sector Scheme for SC Students (Top Class) (State Special Extension 1),Ministry of Social Justice & Empowerment,50000,All States,2026-07-10 12:00:00
122,Post-Matric Scholarship for OBC Students (State Special Extension 1),Ministry of Social Justice & Empowerment,,Andhra Pradesh|Gujarat,2026-08-14 12:00:00
123,Pre-Matric Scholarship for SC Students (State Special Extension 1),,25000,West Bengal|Andhra Pradesh|Odisha|Gujarat|Tamil Nadu,2026-06-21 12:00:00
124,Maulana Azad National Scholarship for Minority Girls (State Special Extension 1),Ministry of Minority Affairs,50000,All States,2026-06-26 12:00:00
125,Begum Hazrat Mahal National Scholarship (State Special Extension 1),Ministry of Minority Affairs,"₹20,000 per year",All States,2026-08-04 12:00:00
126,Padho Pardesh — Interest Subsidy for Abroad Studies (State Special Extension 1),Ministry of Minority Affairs,,West Bengal|Uttar Pradesh|Punjab|Maharashtra|Karnataka,2026-06-28 12:00:00
